imdb_id,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt0499549,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","USA, UK",James Cameron,22 Apr 2010,7.9,"884,526","English, Spanish",83.0,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,20th Century Fox,PG-13,18 Dec 2009,162 min,Avatar,"It might be more impressive on a technical level than as a piece of storytelling, but Avatar reaffirms James Cameron's singular gift for imaginative, absorbing filmmaking.",certified,83,7.5,293,49,82,4.1,1379101,James Cameron,2009,237000000,"[Action, Adventure, Fantasy, Science Fiction]",http://www.avatarmovie.com/,19995,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.138468,2781505847,Enter the World of Pandora.,7.1,7850,Avatar (2009 film)
tt0988045,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","USA, Germany",Guy Ritchie,30 Mar 2010,7.6,"473,745","English, French",57.0,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,Warner Bros. Pictures/Village Roadshow,PG-13,25 Dec 2009,128 min,Sherlock Holmes,"Guy Ritchie's directorial style might not be quite the best fit for an update on the legendary detective, but Sherlock Holmes benefits from the elementary appeal of a strong performance by Robert Downey, Jr.",fresh,70,6.2,230,68,77,3.7,768330,"Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Michael Robert Johnson (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2009,90000000,"[Adventure, Drama, Action, Comedy, Thriller, Crime, Mystery]",http://sherlock-holmes-movie.warnerbros.com/,10528,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,3.369813,524028679,Nothing escapes him.,6.9,3775,Sherlock Holmes (1939 film series)
tt1119646,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","USA, Germany",Todd Phillips,15 Dec 2009,7.8,"582,201",English,73.0,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,05 Jun 2009,100 min,The Hangover,"With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.",certified,79,6.8,227,48,84,4.0,941593,"Jon Lucas, Scott Moore",2009,35000000,[Comedy],http://hangoverpart2.warnerbros.com/dvd/,18785,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug -- who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",3.793684,459270619,Some guys just can't handle Vegas.,7.1,3691,The Hangover (film series)
tt1049413,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",USA,"Pete Docter, Bob Peterson",10 Nov 2009,8.3,"663,389",English,88.0,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,Walt Disney Pictures,PG,29 May 2009,96 min,Up,"An exciting, funny, and poignant adventure, Up offers an impeccably crafted story told with wit and arranged with depth, as well as yet another visual Pixar treat.",certified,98,8.7,285,5,90,3.8,1200135,"Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay), Pete Docter (screenplay)",2009,175000000,"[Animation, Comedy, Family, Adventure]",http://disney.go.com/disneypictures/up/,14160,"After a lifetime of dreaming of traveling the world, 78-year-old homebody Carl flies away on an unbelievable adventure with Russell, an 8-year-old Wilderness Explorer, unexpectedly in tow. Together, the unlikely pair embarks on a thrilling odyssey full of jungle beasts and rough terrain.",3.893134,731342744,Fly Up to Venezuela,7.6,3492,Up
tt0361748,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","USA, Germany","Quentin Tarantino, Eli Roth",15 Dec 2009,8.3,"875,031","English, German, French, Italian",69.0,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX300.jpg,The Weinstein Company,R,21 Aug 2009,153 min,Inglourious Basterds,"A classic Tarantino genre-blending thrill ride, Inglourious Basterds is violent, unrestrained, and thoroughly entertaining.",certified,89,7.8,306,35,87,3.9,771342,Quentin Tarantino,2009,70000000,"[Drama, Action, Thriller, War]",http://www.inglouriousbasterds-movie.com/,16869,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",4.463281,319131050,Once upon a time in Nazi occupied France...,7.7,3467,Inglourious Basterds
tt1190080,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",USA,Roland Emmerich,02 Mar 2010,5.8,"283,055","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",49.0,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,Sony Pictures/Columbia,PG-13,13 Nov 2009,158 min,2012,"Roland Emmerich's 2012 provides plenty of visual thrills, but lacks a strong enough script to support its massive scope and inflated length.",rotten,39,5.0,238,144,47,3.2,507564,"Roland Emmerich, Harald Kloser",2009,200000000,"[Action, Adventure, Science Fiction]",http://www.sonypictures.com/movies/2012,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",1.840829,769653595,We Were Warned.,5.6,3311,Prometheus (2012 film)
tt0796366,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana","USA, Germany",J.J. Abrams,17 Nov 2009,8.0,"497,517",English,82.0,"The brash James T. Kirk tries to live up to his father's legacy with Commander Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.",http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,IMAX,PG-13,08 May 2009,127 min,Star Trek,"Star Trek reignites a classic franchise with action, humor, a strong story, and brilliant visuals, and will please traditional Trekkies and new fans alike.",certified,95,8.2,333,17,91,4.1,744236,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")",2009,150000000,"[Science Fiction, Action, Adventure]",http://www.startrekmovie.com/,13475,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",4.233416,385680446,The future begins.,7.3,3140,Star Trek (film)
tt0417741,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson","UK, USA",David Yates,08 Dec 2009,7.5,"320,534",English,78.0,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,15 Jul 2009,153 min,Harry Potter and the Half-Blood Prince,"Dark, thrilling, and occasionally quite funny, Harry Potter and the Half-Blood Prince is also visually stunning and emotionally satisfying.",certified,84,7.2,267,44,77,3.8,1556308,"Steve Kloves (screenplay), J.K. Rowling (novel)",2009,250000000,"[Adventure, Fantasy, Family]",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past...",3.105266,933959197,Dark Secrets Revealed,7.2,2809,Harry Potter and the Half-Blood Prince (film)
tt0458525,"Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am","USA, UK",Gavin Hood,15 Sep 2009,6.7,"360,849",English,40.0,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg,20th Century Fox,PG-13,01 May 2009,107 min,X-Men Origins: Wolverine,"Though Hugh Jackman gives his all, he can't help X-Men Origins: Wolverine overcome a cliche-ridden script and familiar narrative.",rotten,38,5.1,253,158,59,3.6,559099,"David Benioff (screenplay), Skip Woods (screenplay)",2009,150000000,"[Adventure, Action, Thriller, Science Fiction]",http://www.x-menorigins.com/,2080,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",0.287712,341131793,Witness the Origin.,6.2,2592,X-Men Origins: Wolverine
tt1055369,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",USA,Michael Bay,20 Oct 2009,6.0,"322,465","English, Spanish",35.0,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,Paramount/Dreamworks,PG-13,24 Jun 2009,150 min,Transformers: Revenge of the Fallen,"Transformers: Revenge of the Fallen is a noisy, underplotted, and overlong special effects extravaganza that lacks a human touch.",rotten,19,3.9,243,196,58,3.5,4079936,"Ehren Kruger, Roberto Orci, Alex Kurtzman",2009,150000000,"[Science Fiction, Action, Adventure]",http://www.transformersmovie.com/,8373,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",0.702648,836297228,Revenge is coming.,6.0,2045,Transformers: Revenge of the Fallen
