imdb_id,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt0816692,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow","USA, UK",Christopher Nolan,31 Mar 2015,8.6,"923,364",English,74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,Paramount Pictures,PG-13,07 Nov 2014,169 min,Interstellar,"Interstellar represents more of the thrilling, thought-provoking, and visually resplendent filmmaking moviegoers have come to expect from writer-director Christopher Nolan, even if its intellectual reach somewhat exceeds its grasp.",certified,71,7.0,307,89,85,4.1,168343,"Jonathan Nolan, Christopher Nolan",2014,165000000,"[Adventure, Drama, Science Fiction]",https://interstellar.withgoogle.com/,157336,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,15.743009,621752480,Mankind was born on Earth. It was never meant to die here.,8.1,5446,Interstellar
tt2015381,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","USA, UK",James Gunn,09 Dec 2014,8.1,"669,684",English,76,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,Walt Disney Pictures,PG-13,01 Aug 2014,121 min,Guardians of the Galaxy,"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",certified,91,7.7,287,25,92,4.4,246292,"James Gunn, Nicole Perlman, Dan Abnett (comic book), Andy Lanning (comic book)",2014,170000000,"[Action, Science Fiction, Adventure]",http://marvel.com/guardians,118340,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",8.887074,773312399,All heroes start somewhere.,8.0,4874,Guardians of the Galaxy (film)
tt2245084,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",USA,"Don Hall, Chris Williams",24 Feb 2015,7.9,"277,474",English,74,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",http://ia.media-imdb.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,Walt Disney Pictures,PG,07 Nov 2014,102 min,Big Hero 6,"Agreeably entertaining and brilliantly animated, Big Hero 6 is briskly-paced, action-packed, and often touching.",certified,89,7.3,196,22,91,4.3,126544,"Jordan Roberts (screenplay), Robert L. Baird (screenplay), Daniel Gerson (screenplay), Man of Action (Big Hero 6 team and characters created by)",2014,165000000,"[Adventure, Family, Animation, Action, Comedy]",http://movies.disney.com/big-hero-6,177572,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",8.067953,652105443,From the creators of Wreck-it Ralph and Frozen,7.8,3657,Big Hero 6 (film)
tt1877832,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence","USA, UK, Canada",Bryan Singer,14 Oct 2014,8.0,"509,125","English, Vietnamese, French",74,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,http://ia.media-imdb.com/images/M/MV5BNjk3MGZhMjEtOTM4NC00NzE2LTk2NzctZDc4YTUwN2E3NDhhXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,23 May 2014,132 min,X-Men: Days of Future Past,X-Men: Days of Future Past combines the best elements of the series to produce a satisfyingly fast-paced outing that ranks among the franchise's finest installments.,certified,91,7.5,285,27,92,4.3,273529,"Simon Kinberg (screenplay), Jane Goldman (story), Simon Kinberg (story), Matthew Vaughn (story)",2014,250000000,"[Action, Adventure, Fantasy, Science Fiction]",http://www.x-menmovies.com/,127585,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,5.270392,746000000,"To save the future, they must alter the past",7.6,3575,X-Men: Days of Future Past
tt1843866,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",USA,"Anthony Russo, Joe Russo",09 Sep 2014,7.8,"494,587","English, French",70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",http://ia.media-imdb.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,04 Apr 2014,136 min,Captain America: The Winter Soldier,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",certified,89,7.5,257,29,92,4.3,275186,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (based on the Marvel comic by), Jack Kirby (based on the Marvel comic by)",2014,170000000,"[Action, Adventure, Science Fiction]",http://www.captainamericathewintersoldiermovie.com,100402,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",4.859134,714766572,In heroes we trust.,7.6,3451,Captain America: The Winter Soldier
tt2802144,"Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies","UK, USA",Matthew Vaughn,09 Jun 2015,7.8,"396,599","English, Arabic, Swedish",58,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",http://ia.media-imdb.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_SX300.jpg,20th Century Fox,R,13 Feb 2015,129 min,Kingsman: The Secret Service,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.",fresh,74,6.8,223,58,84,4.0,121414,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book ""The Secret Service""), Dave Gibbons (comic book ""The Secret Service"")",2014,81000000,"[Crime, Comedy, Action, Adventure]",http://www.kingsmanmovie.com/,207703,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,2.551788,403802136,Manners maketh man.,7.6,3438,Kingsman: The Secret Service
tt2872732,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked","France, USA",Luc Besson,20 Jan 2015,6.4,"326,601","English, French, Spanish, Korean, Chinese",61,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",http://ia.media-imdb.com/images/M/MV5BODcxMzY3ODY1NF5BMl5BanBnXkFtZTgwNzg1NDY4MTE@._V1_SX300.jpg,Universal Pictures,R,25 Jul 2014,89 min,Lucy,"Enthusiastic and silly, Lucy powers through the movie's logic gaps with cheesy thrills plus Scarlett Johansson's charm -- and mostly succeeds at it.",fresh,67,6.1,205,68,47,3.2,133468,Luc Besson,2014,40000000,"[Action, Science Fiction]",,240832,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",5.002996,463360063,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,6.3,3296,Lucy
tt2267998,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",USA,David Fincher,13 Jan 2015,8.1,"567,353",English,79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",http://ia.media-imdb.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,20th Century Fox,R,03 Oct 2014,149 min,Gone Girl,"Dark, intelligent, and stylish to a fault, Gone Girl plays to director David Fincher's sick strengths while bringing the best out of stars Ben Affleck and Rosamund Pike.",certified,88,8.0,297,35,87,4.1,124775,"Gillian Flynn (screenplay), Gillian Flynn (novel)",2014,61000000,"[Mystery, Thriller, Drama]",http://www.gonegirlmovie.com/,210577,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",6.597637,369330363,You don't know what you've got 'til it's...,7.9,3294,List of accolades received by Gone Girl (film)
tt1951265,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",USA,Francis Lawrence,06 Mar 2015,6.7,"301,187",English,64,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",http://ia.media-imdb.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,Lionsgate Films,PG-13,21 Nov 2014,123 min,The Hunger Games: Mockingjay - Part 1,"The Hunger Games: Mockingjay - Part 1 sets up the franchise finale with a penultimate chapter loaded with solid performances and smart political subtext, though it comes up short on the action front.",fresh,65,6.3,251,87,72,3.8,245910,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)",2014,125000000,"[Science Fiction, Adventure, Thriller]",http://www.thehungergames.movie/,131631,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,14.91193,752100229,Fire burns brighter in the darkness,6.7,3083,The Hunger Games (film series)
tt1790864,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper","USA, Canada, UK",Wes Ball,16 Dec 2014,6.8,"309,480",English,56,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",http://ia.media-imdb.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_SX300.jpg,20th Century Fox,PG-13,19 Sep 2014,113 min,The Maze Runner,"With strong acting, a solid premise, and a refreshingly dark approach to its dystopian setting, The Maze Runner stands out from the crowded field of YA sci-fi adventures.",fresh,64,5.9,149,53,68,3.7,92656,"Noah Oppenheim (screenplay), Grant Pierce Myers (screenplay), T.S. Nowlin (screenplay), James Dashner (novel)",2014,34000000,"[Action, Mystery, Science Fiction, Thriller]",http://themazerunnermovie.com/,198663,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",4.628188,348319861,Run - Remember - Survive,7.0,3022,The Maze Runner (film)
