imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt0499549,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Won 3 Oscars. Another 80 wins & 121 nominations.,N/A,"USA, UK",James Cameron,22 Apr 2010,"Action, Adventure, Fantasy",7.9,"884,526","English, Spanish",83,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,20th Century Fox,PG-13,18 Dec 2009,True,162 min,Avatar,"It might be more impressive on a technical level than as a piece of storytelling, but Avatar reaffirms James Cameron's singular gift for imaginative, absorbing filmmaking.",244,certified,83,7.5,293,49,82,4.1,1379101,movie,N/A,James Cameron,2009
tt0988045,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Nominated for 2 Oscars. Another 10 wins & 25 nominations.,N/A,"USA, Germany",Guy Ritchie,30 Mar 2010,"Action, Adventure, Crime",7.6,"473,745","English, French",57,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,Warner Bros. Pictures/Village Roadshow,PG-13,25 Dec 2009,True,128 min,Sherlock Holmes,"Guy Ritchie's directorial style might not be quite the best fit for an update on the legendary detective, but Sherlock Holmes benefits from the elementary appeal of a strong performance by Robert Downey, Jr.",162,fresh,70,6.2,230,68,77,3.7,768330,movie,N/A,"Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Michael Robert Johnson (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2009
tt1119646,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Won 1 Golden Globe. Another 10 wins & 26 nominations.,N/A,"USA, Germany",Todd Phillips,15 Dec 2009,Comedy,7.8,"582,201",English,73,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,05 Jun 2009,True,100 min,The Hangover,"With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.",179,certified,79,6.8,227,48,84,4.0,941593,movie,N/A,"Jon Lucas, Scott Moore",2009
tt1049413,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",Won 2 Oscars. Another 73 wins & 75 nominations.,N/A,USA,"Pete Docter, Bob Peterson",10 Nov 2009,"Animation, Adventure, Comedy",8.3,"663,389",English,88,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,Walt Disney Pictures,PG,29 May 2009,True,96 min,Up,"An exciting, funny, and poignant adventure, Up offers an impeccably crafted story told with wit and arranged with depth, as well as yet another visual Pixar treat.",280,certified,98,8.7,285,5,90,3.8,1200135,movie,N/A,"Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay), Pete Docter (screenplay)",2009
tt0361748,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Won 1 Oscar. Another 123 wins & 153 nominations.,N/A,"USA, Germany","Quentin Tarantino, Eli Roth",15 Dec 2009,"Adventure, Drama, War",8.3,"875,031","English, German, French, Italian",69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX300.jpg,The Weinstein Company,R,21 Aug 2009,True,153 min,Inglourious Basterds,"A classic Tarantino genre-blending thrill ride, Inglourious Basterds is violent, unrestrained, and thoroughly entertaining.",271,certified,89,7.8,306,35,87,3.9,771342,movie,N/A,Quentin Tarantino,2009
tt1190080,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",4 wins & 20 nominations.,N/A,USA,Roland Emmerich,02 Mar 2010,"Action, Adventure, Sci-Fi",5.8,"283,055","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",49,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,Sony Pictures/Columbia,PG-13,13 Nov 2009,True,158 min,2012,"Roland Emmerich's 2012 provides plenty of visual thrills, but lacks a strong enough script to support its massive scope and inflated length.",94,rotten,39,5.0,238,144,47,3.2,507564,movie,N/A,"Roland Emmerich, Harald Kloser",2009
tt0796366,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",Won 1 Oscar. Another 22 wins & 83 nominations.,N/A,"USA, Germany",J.J. Abrams,17 Nov 2009,"Action, Adventure, Sci-Fi",8.0,"497,517",English,82,"The brash James T. Kirk tries to live up to his father's legacy with Commander Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.",http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,IMAX,PG-13,08 May 2009,True,127 min,Star Trek,"Star Trek reignites a classic franchise with action, humor, a strong story, and brilliant visuals, and will please traditional Trekkies and new fans alike.",316,certified,95,8.2,333,17,91,4.1,744236,movie,N/A,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")",2009
tt0417741,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",Nominated for 1 Oscar. Another 8 wins & 30 nominations.,N/A,"UK, USA",David Yates,08 Dec 2009,"Adventure, Family, Fantasy",7.5,"320,534",English,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,15 Jul 2009,True,153 min,Harry Potter and the Half-Blood Prince,"Dark, thrilling, and occasionally quite funny, Harry Potter and the Half-Blood Prince is also visually stunning and emotionally satisfying.",223,certified,84,7.2,267,44,77,3.8,1556308,movie,N/A,"Steve Kloves (screenplay), J.K. Rowling (novel)",2009
tt0458525,"Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",3 wins & 13 nominations.,N/A,"USA, UK",Gavin Hood,15 Sep 2009,"Action, Adventure, Fantasy",6.7,"360,849",English,40,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg,20th Century Fox,PG-13,01 May 2009,True,107 min,X-Men Origins: Wolverine,"Though Hugh Jackman gives his all, he can't help X-Men Origins: Wolverine overcome a cliche-ridden script and familiar narrative.",95,rotten,38,5.1,253,158,59,3.6,559099,movie,N/A,"David Benioff (screenplay), Skip Woods (screenplay)",2009
tt1055369,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Nominated for 1 Oscar. Another 13 wins & 25 nominations.,N/A,USA,Michael Bay,20 Oct 2009,"Action, Adventure, Sci-Fi",6.0,"322,465","English, Spanish",35,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,Paramount/Dreamworks,PG-13,24 Jun 2009,True,150 min,Transformers: Revenge of the Fallen,"Transformers: Revenge of the Fallen is a noisy, underplotted, and overlong special effects extravaganza that lacks a human touch.",47,rotten,19,3.9,243,196,58,3.5,4079936,movie,N/A,"Ehren Kruger, Roberto Orci, Alex Kurtzman",2009
