imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt1399103,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro",Nominated for 3 Oscars. Another 10 wins & 40 nominations.,N/A,USA,Michael Bay,30 Sep 2011,"Action, Adventure, Sci-Fi",6.3,"324,404",English,42,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",http://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg,Paramount Studios,PG-13,29 Jun 2011,True,154 min,Transformers: Dark of the Moon,"Its special effects -- and 3D shots -- are undeniably impressive, but they aren't enough to fill up its loud, bloated running time, or mask its thin, indifferent script.",87,rotten,35,4.9,246,159,55,3.5,256083,movie,N/A,Ehren Kruger,2011
tt1219289,"Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard",2 wins & 7 nominations.,N/A,USA,Neil Burger,19 Jul 2011,"Mystery, Sci-Fi, Thriller",7.4,"418,360","English, Russian, Italian, Mandarin, French",59,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",http://ia.media-imdb.com/images/M/MV5BYmViZGM0MGItZTdiYi00ZDU4LWIxNDYtNTc1NWQ5Njc2N2YwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Relativity Media,PG-13,18 Mar 2011,True,105 min,Limitless,"Although its script is uneven, Neil Burger directs Limitless with plenty of visual panache, and Bradley Cooper makes for a charismatic star.",132,fresh,70,6.4,189,57,74,3.7,107169,movie,N/A,"Leslie Dixon (screenplay), Alan Glynn (novel)",2011
tt0780504,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nominated for 1 Oscar. Another 73 wins & 162 nominations.,N/A,USA,Nicolas Winding Refn,31 Jan 2012,"Crime, Drama",7.8,"430,732","English, Spanish",78,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself trouble when he helps out his neighbor.,http://ia.media-imdb.com/images/M/MV5BZjY5ZjQyMjMtMmEwOC00Nzc2LTllYTItMmU2MzJjNTg1NjY0XkEyXkFqcGdeQXVyNjQ1MTMzMDQ@._V1_SX300.jpg,FilmDistrict,R,16 Sep 2011,True,100 min,Drive,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",220,certified,92,8.3,238,18,79,3.9,114957,movie,N/A,"Hossein Amini (screenplay), James Sallis (book)",2011
tt1637688,"Justin Timberlake, Olivia Wilde, Shyloh Oostwald, Johnny Galecki",2 nominations.,N/A,USA,Andrew Niccol,31 Jan 2012,"Action, Sci-Fi, Thriller",6.7,"303,865",English,53,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",http://ia.media-imdb.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@._V1_SX300.jpg,20th Century Fox,PG-13,28 Oct 2011,True,109 min,In Time,"In Time's intriguing premise and appealing cast are easily overpowered by the blunt, heavy-handed storytelling.",56,rotten,36,5.2,157,101,51,3.3,68706,movie,N/A,Andrew Niccol,2011
tt0433035,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie",Nominated for 1 Oscar. Another 2 wins & 5 nominations.,N/A,"USA, India",Shawn Levy,24 Jan 2012,"Action, Drama, Sci-Fi",7.1,"252,566","English, Ukrainian",56,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",http://ia.media-imdb.com/images/M/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,07 Oct 2011,True,127 min,Real Steel,"Silly premise notwithstanding, this is a well-made Hollywood movie: Thrilling and exciting action with just enough characterization.",126,fresh,60,5.9,212,86,73,3.9,210798,movie,N/A,"John Gatins (screenplay), Dan Gilroy (story), Jeremy Leven (story), Richard Matheson (short story ""Steel"")",2011
tt1568346,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",Won 1 Oscar. Another 25 wins & 85 nominations.,N/A,"USA, Sweden, Norway",David Fincher,20 Mar 2012,"Crime, Drama, Mystery",7.8,"326,333",English,71,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",http://ia.media-imdb.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,Sony Pictures,R,21 Dec 2011,True,158 min,The Girl with the Dragon Tattoo,"Brutal yet captivating, The Girl With the Dragon Tattoo is the result of David Fincher working at his lurid best with total role commitment from star Rooney Mara.",193,certified,86,7.6,224,31,86,4.1,117319,movie,N/A,"Steven Zaillian (screenplay), Stieg Larsson (novel)",2011
tt1133985,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",2 wins & 5 nominations.,N/A,USA,Martin Campbell,14 Oct 2011,"Action, Adventure, Sci-Fi",5.6,"222,914",English,39,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",http://ia.media-imdb.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,17 Jun 2011,True,114 min,Green Lantern,"Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",59,rotten,26,4.6,226,167,45,3.1,148304,movie,N/A,"Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay), Greg Berlanti (screen story), Michael Green (screen story), Marc Guggenheim (screen story)",2011
tt1324999,"Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke",11 wins & 21 nominations.,N/A,USA,Bill Condon,11 Feb 2012,"Adventure, Drama, Fantasy",4.9,"181,424","English, Portuguese",45,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",http://ia.media-imdb.com/images/M/MV5BODgxNDE0OTAzOF5BMl5BanBnXkFtZTcwNzcwODE2Ng@@._V1_SX300.jpg,Summit Entertainment,PG-13,18 Nov 2011,True,117 min,The Twilight Saga: Breaking Dawn - Part 1,"Slow, joyless, and loaded with unintentionally humorous moments, Breaking Dawn Part 1 may satisfy the Twilight faithful, but it's strictly for fans of the franchise.",47,rotten,24,4.3,195,148,60,3.5,186009,movie,N/A,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2011
tt1436562,"Karen Disher, Jason Fricchione, Sofia Scarpa Saldanha, Leslie Mann",Nominated for 1 Oscar. Another 3 wins & 28 nominations.,N/A,USA,Carlos Saldanha,02 Aug 2011,"Animation, Adventure, Comedy",7.0,"164,953","English, Portuguese",63,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",http://ia.media-imdb.com/images/M/MV5BMTU2MDY3MzAzMl5BMl5BanBnXkFtZTcwMTg0NjM5NA@@._V1_SX300.jpg,20th Century Fox,G,15 Apr 2011,True,96 min,Rio,"This straightforward movie reaches great heights thanks to its colorful visual palette, catchy music, and funny vocal performances.",104,fresh,72,6.4,145,41,71,3.7,89588,movie,N/A,"Carlos Saldanha (story), Earl Richey Jones (story), Todd R. Jones (story), Don Rhymer (screenplay), Joshua Sternin (screenplay), Jennifer Ventimilia (screenplay), Sam Harper (screenplay)",2011
tt0945513,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",1 win & 8 nominations.,N/A,"USA, Canada",Duncan Jones,26 Jul 2011,"Mystery, Sci-Fi, Thriller",7.5,"373,843",English,74,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.,http://ia.media-imdb.com/images/M/MV5BMTY0MTc3MzMzNV5BMl5BanBnXkFtZTcwNDE4MjE0NA@@._V1_SX300.jpg,Summit Entertainment,PG-13,01 Apr 2011,True,93 min,Source Code,"Finding the human story amidst the action, director Duncan Jones and charming Jake Gyllenhaal craft a smart, satisfying sci-fi thriller.",224,certified,92,7.5,244,20,81,3.8,123709,movie,N/A,Ben Ripley,2011
tt1596343,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",8 wins & 19 nominations.,N/A,USA,Justin Lin,04 Oct 2011,"Action, Crime, Thriller",7.3,"284,200","English, Portuguese, Spanish, Italian",67,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,http://ia.media-imdb.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg,Universal Pictures,PG-13,29 Apr 2011,True,131 min,Fast Five,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",149,certified,77,6.4,193,44,82,4.0,135554,movie,N/A,"Chris Morgan, Gary Scott Thompson (characters)",2011
tt1570728,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",Nominated for 1 Golden Globe. Another 3 wins & 20 nominations.,N/A,USA,"Glenn Ficarra, John Requa",01 Nov 2011,"Comedy, Drama, Romance",7.4,"374,648",English,68,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",http://ia.media-imdb.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,29 Jul 2011,True,118 min,"Crazy, Stupid, Love.","It never lives up to the first part of its title, but Crazy, Stupid, Love's unabashed sweetness -- and its terrifically talented cast -- more than make up for its flaws.",160,certified,78,6.9,205,45,77,3.8,106949,movie,N/A,Dan Fogelman,2011
tt0983193,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost",Nominated for 1 Oscar. Another 22 wins & 59 nominations.,N/A,"USA, New Zealand",Steven Spielberg,13 Mar 2012,"Animation, Action, Adventure",7.4,"177,052",English,68,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,http://ia.media-imdb.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg,Paramount,PG,21 Dec 2011,True,107 min,The Adventures of Tintin,"Drawing deep from the classic Raiders of the Lost Ark playbook, Steven Spielberg has crafted another spirited, thrilling adventure in the form of Tintin.",153,certified,75,7.0,205,52,74,3.7,76629,movie,N/A,"Steven Moffat (screenplay), Edgar Wright (screenplay), Joe Cornish (screenplay), Hergé (comic book series ""The Adventures of Tintin"")",2011
tt1650062,"Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee",11 wins & 62 nominations.,N/A,USA,J.J. Abrams,22 Nov 2011,"Action, Mystery, Sci-Fi",7.1,"285,115",English,72,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",http://ia.media-imdb.com/images/M/MV5BMTM5NzkxMzQ5MF5BMl5BanBnXkFtZTcwNDYwMTA3NA@@._V1_SX300.jpg,Paramount Pictures,PG-13,10 Jun 2011,True,112 min,Super 8,"It may evoke memories of classic summer blockbusters a little too eagerly for some, but Super 8 has thrills, visual dazzle, and emotional depth to spare.",221,certified,82,7.4,270,49,75,3.7,133915,movie,N/A,J.J. Abrams,2011
tt1192628,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty",Won 1 Oscar. Another 45 wins & 24 nominations.,N/A,USA,Gore Verbinski,15 Jul 2011,"Animation, Adventure, Comedy",7.2,"182,807",English,75,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",http://ia.media-imdb.com/images/M/MV5BMjE5ODg1NTk3OF5BMl5BanBnXkFtZTcwNzA5NTMyNA@@._V1_SX300.jpg,Paramount Pictures,PG,04 Mar 2011,True,107 min,Rango,"Rango is a smart, giddily creative burst of beautifully animated entertainment, and Johnny Depp gives a colorful vocal performance as a household pet in an unfamiliar world.",187,certified,87,7.6,214,27,69,3.6,119006,movie,N/A,"John Logan, John Logan (story), Gore Verbinski (story), James Ward Byrkit (story)",2011
tt1499658,"Jason Bateman, Steve Wiebe, Kevin Spacey, Charlie Day",3 wins & 10 nominations.,N/A,USA,Seth Gordon,11 Oct 2011,"Comedy, Crime",6.9,"352,742",English,57,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,http://ia.media-imdb.com/images/M/MV5BNzYxNDI5Njc5NF5BMl5BanBnXkFtZTcwMDUxODE1NQ@@._V1_SX300.jpg,Warner Bros. Pictures,R,08 Jul 2011,True,98 min,Horrible Bosses,"It's nasty, uneven, and far from original, but thanks to a smartly assembled cast that makes the most of a solid premise, Horrible Bosses works.",142,fresh,68,6.2,208,66,70,3.6,105770,movie,N/A,"Michael Markowitz (screenplay), John Francis Daley (screenplay), Jonathan Goldstein (screenplay), Michael Markowitz (story)",2011
tt0409847,"Daniel Craig, Abigail Spencer, Buck Taylor, Matthew Taylor",17 nominations.,N/A,USA,Jon Favreau,06 Dec 2011,"Action, Sci-Fi, Thriller",6.0,"171,218","English, Apache languages",50,"A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.",http://ia.media-imdb.com/images/M/MV5BMTM1MzkyNzQ3OV5BMl5BanBnXkFtZTcwMDk1NTg2NQ@@._V1_SX300.jpg,Universal Pictures,PG-13,29 Jul 2011,True,119 min,Cowboys & Aliens,"Daniel Craig and Harrison Ford are as dependably appealing as ever, but they're let down by director Jon Favreau's inability to smooth Cowboys & Aliens' jarring tonal shifts.",104,rotten,44,5.6,239,135,43,3.1,104046,movie,N/A,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), Damon Lindelof (screenplay), Mark Fergus (screenplay), Hawk Ostby (screenplay), Mark Fergus (screen story), Hawk Ostby (screen story), Steve Oedekerk (screen story), Scott Mitchell Rosenberg (Platinum Studios comic book)",2011
tt1632708,"Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman",5 nominations.,N/A,USA,Will Gluck,02 Dec 2011,"Comedy, Romance",6.6,"267,966",English,63,"While trying to avoid the clichés of Hollywood romantic comedies, Dylan Harper and Jamie Rellis soon discover however that adding the act of sex to their friendship does lead to complications.",http://ia.media-imdb.com/images/M/MV5BMTQ2MzQ0NTk4N15BMl5BanBnXkFtZTcwMDc2NDYzNQ@@._V1_SX300.jpg,Sony/Screen Gems,R,22 Jul 2011,True,109 min,Friends with Benefits,"Friends with Benefits adds nothing new to its well-worn rom-com formula, but the chemistry between Justin Timberlake and Mila Kunis is almost enough to carry the movie by itself.",117,fresh,70,6.2,168,51,65,3.6,79907,movie,N/A,"Keith Merryman (screenplay), David A. Newman (screenplay), Will Gluck (screenplay), Harley Peyton (story), Keith Merryman (story), David A. Newman (story)",2011
tt1216475,"Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,N/A,USA,"John Lasseter, Brad Lewis",01 Nov 2011,"Animation, Adventure, Comedy",6.3,"100,914","English, Japanese, Italian, French",57,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,http://ia.media-imdb.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,Walt Disney Pictures/PIXAR,G,24 Jun 2011,True,106 min,Cars 2,"Cars 2 is as visually appealing as any other Pixar production, but all that dazzle can't disguise the rusty storytelling under the hood.",80,rotten,39,5.5,205,125,50,3.3,102061,movie,N/A,"John Lasseter (original story by), Brad Lewis (original story by), Dan Fogelman (original story by), Ben Queen (screenplay)",2011
tt0970179,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz",Won 5 Oscars. Another 53 wins & 175 nominations.,N/A,USA,Martin Scorsese,28 Feb 2012,"Adventure, Drama, Family",7.5,"244,872",English,83,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",http://ia.media-imdb.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,Paramount Studios,PG,23 Nov 2011,True,126 min,Hugo,"Hugo is an extravagant, elegant fantasy with an innocence lacking in many modern kids' movies, and one that emanates an unabashed love for the magic of cinema.",192,certified,94,8.3,205,13,78,3.9,81162,movie,N/A,"John Logan (screenplay), Brian Selznick (book)",2011
tt1302011,"Jack Black, Angelina Jolie Pitt, Dustin Hoffman, Gary Oldman",Nominated for 1 Oscar. Another 5 wins & 44 nominations.,N/A,USA,Jennifer Yuh Nelson,13 Dec 2011,"Animation, Action, Adventure",7.3,"182,104",English,67,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",http://ia.media-imdb.com/images/M/MV5BMTg4MTQ3NTI3Nl5BMl5BanBnXkFtZTcwNzEzODQ2NA@@._V1_SX300.jpg,Paramount Studios/Dreamworks,PG,26 May 2011,True,91 min,Kung Fu Panda 2,"The storyline arc may seem a tad familiar to fans of the original, but Kung Fu Panda 2 offers enough action, comedy, and visual sparkle to compensate.",135,certified,81,6.9,167,32,74,3.8,144402,movie,N/A,"Jonathan Aibel, Glenn Berger",2011
