imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt1392190,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",Won 6 Oscars. Another 206 wins & 189 nominations.,N/A,"Australia, USA",George Miller,01 Sep 2015,"Action, Adventure, Sci-Fi",8.1,"547,810","English, Russian",90,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",http://ia.media-imdb.com/images/M/MV5BMTUyMTE0ODcxNF5BMl5BanBnXkFtZTgwODE4NDQzNTE@._V1_SX300.jpg,Warner Bros.,R,15 May 2015,True,120 min,Mad Max: Fury Road,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",342,certified,97,8.6,354,12,86,4.2,119588,movie,N/A,"George Miller, Brendan McCarthy, Nick Lathouris",2015
tt0369610,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",5 wins & 52 nominations.,N/A,USA,Colin Trevorrow,20 Oct 2015,"Action, Adventure, Sci-Fi",7.0,"416,573",English,59,A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction - a genetically modified giant stealth killing machine - escapes containment and goes on a killing spree.,http://ia.media-imdb.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg,Universal Pictures,PG-13,12 Jun 2015,True,124 min,Jurassic World,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",211,fresh,72,6.7,295,84,78,3.9,222015,movie,N/A,"Rick Jaffa (screenplay), Amanda Silver (screenplay), Colin Trevorrow (screenplay), Derek Connolly (screenplay), Rick Jaffa (story), Amanda Silver (story), Michael Crichton (characters)",2015
tt2488496,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",Nominated for 5 Oscars. Another 43 wins & 106 nominations.,N/A,USA,J.J. Abrams,05 Apr 2016,"Action, Adventure, Fantasy",8.2,"561,678",English,81,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",http://ia.media-imdb.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,18 Dec 2015,True,136 min,Star Wars: The Force Awakens,"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.",330,certified,92,8.2,358,28,89,4.3,217825,movie,N/A,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)",2015
tt2395427,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",3 wins & 40 nominations.,N/A,USA,Joss Whedon,02 Oct 2015,"Action, Adventure, Sci-Fi",7.5,"459,751",English,66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.",http://ia.media-imdb.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,Walt Disney Pictures,PG-13,01 May 2015,True,141 min,Avengers: Age of Ultron,"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",230,certified,75,6.7,307,77,84,4.1,282188,movie,N/A,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",2015
tt3659388,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Nominated for 7 Oscars. Another 34 wins & 168 nominations.,N/A,"USA, UK",Ridley Scott,12 Jan 2016,"Adventure, Drama, Sci-Fi",8.1,"467,360","English, Mandarin",80,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",http://ia.media-imdb.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,20th Century Fox,PG-13,02 Oct 2015,True,144 min,The Martian,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",285,certified,92,7.8,310,25,92,4.3,126198,movie,N/A,"Drew Goddard (screenplay), Andy Weir (book)",2015
tt2096673,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",Won 1 Oscar. Another 83 wins & 96 nominations.,N/A,USA,"Pete Docter, Ronnie Del Carmen",03 Nov 2015,"Animation, Adventure, Comedy",8.3,"342,328",English,94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",http://ia.media-imdb.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,Disney/Pixar,PG,19 Jun 2015,True,95 min,Inside Out,"Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.",309,certified,98,8.9,315,6,89,4.3,129878,movie,N/A,"Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)",2015
tt0478970,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Nominated for 1 BAFTA Film Award. Another 2 wins & 27 nominations.,N/A,USA,Peyton Reed,08 Dec 2015,"Action, Adventure, Comedy",7.4,"310,184",English,64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",http://ia.media-imdb.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg,Disney/Marvel,PG-13,17 Jul 2015,True,117 min,Ant-Man,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",218,certified,81,6.8,270,52,86,4.0,160345,movie,N/A,"Edgar Wright (screenplay), Joe Cornish (screenplay), Adam McKay (screenplay), Paul Rudd (screenplay), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the comics by), Larry Lieber (based on the comics by), Jack Kirby (based on the comics by)",2015
tt1663202,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Won 3 Oscars. Another 74 wins & 160 nominations.,N/A,"USA, Hong Kong, Taiwan, Canada",Alejandro G. Iñárritu,19 Apr 2016,"Adventure, Drama, Thriller",8.1,"399,974","English, Pawnee, French",76,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,http://ia.media-imdb.com/images/M/MV5BMjU4NDExNDM1NF5BMl5BanBnXkFtZTgwMDIyMTgxNzE@._V1_SX300.jpg,20th Century Fox,R,08 Jan 2016,True,156 min,The Revenant,"As starkly beautiful as it is harshly uncompromising, The Revenant uses Leonardo DiCaprio's committed performance as fuel for an absorbing drama that offers punishing challenges -- and rich rewards.",255,certified,82,7.9,311,56,85,4.1,99939,movie,N/A,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)",2015
tt2379713,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Won 1 Oscar. Another 7 wins & 24 nominations.,N/A,"UK, USA",Sam Mendes,09 Feb 2016,"Action, Adventure, Thriller",6.8,"269,609","English, Spanish, Italian, German, French",60,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",http://ia.media-imdb.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,Sony Pictures,PG-13,06 Nov 2015,True,148 min,Spectre,"Spectre nudges Daniel Craig's rebooted Bond closer to the glorious, action-driven spectacle of earlier entries, although it's admittedly reliant on established 007 formula.",198,fresh,65,6.5,305,107,62,3.5,104171,movie,N/A,"John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story), Neal Purvis (story), Robert Wade (story), Ian Fleming (characters)",2015
tt2293640,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney",Nominated for 1 BAFTA Film Award. Another 18 nominations.,N/A,USA,"Kyle Balda, Pierre Coffin",08 Dec 2015,"Animation, Action, Comedy",6.4,"141,188","English, Spanish",56,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",http://ia.media-imdb.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,Universal Pictures,PG,10 Jul 2015,True,91 min,Minions,"The Minions' brightly colored brand of gibberish-fueled insanity stretches to feature length in their self-titled Despicable Me spinoff, with uneven but often hilarious results.",110,rotten,56,5.8,196,86,49,3.3,134953,movie,N/A,Brian Lynch,2015
tt2820852,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",Nominated for 1 Golden Globe. Another 20 wins & 25 nominations.,N/A,"USA, Japan",James Wan,15 Sep 2015,"Action, Crime, Thriller",7.3,"277,247",English,67,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,http://ia.media-imdb.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_SX300.jpg,Universal Pictures,PG-13,03 Apr 2015,True,137 min,Furious 7,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.",185,certified,80,6.7,231,46,83,4.1,193503,movie,N/A,"Chris Morgan, Gary Scott Thompson (characters)",2015
tt0470752,"Domhnall Gleeson, Corey Johnson, Oscar Isaac, Alicia Vikander",Won 1 Oscar. Another 61 wins & 133 nominations.,N/A,UK,Alex Garland,14 Jul 2015,"Drama, Mystery, Sci-Fi",7.7,"282,661",English,78,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,http://ia.media-imdb.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_SX300.jpg,A24 Films,R,24 Apr 2015,True,108 min,Ex Machina,"Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",214,certified,93,8.1,231,17,86,4.1,67843,movie,N/A,Alex Garland,2015
